Period,Month,Shop,Category,Drink,Quantity,Net Revenue,Transactions
Current 3M,2026-04,Carlow,Acai bowls & Smoothies,Classic acai,307.0,2659.26,277
Current 3M,2026-04,Carlow,Coffee & more,Americano,13.0,44.62,12
Current 3M,2026-04,Carlow,Coffee & more,Bueno iced latte,57.0,311.49,51
Current 3M,2026-04,Carlow,Coffee & more,Cappuccino,26.0,96.3,25
Current 3M,2026-04,Carlow,Coffee & more,Flat white,6.0,22.5,5
Current 3M,2026-04,Carlow,Coffee & more,Iced Latte,22.0,89.2,22
Current 3M,2026-04,Carlow,Coffee & more,Iced caramel latte,79.0,428.04,76
Current 3M,2026-04,Carlow,Coffee & more,Latte,34.0,147.2,33
Current 3M,2026-04,Carlow,Coffee & more,Tea,8.0,20.0,8
Current 3M,2026-04,Carlow,Coffee & more,Toasted brown sugar,54.0,218.45,51
Current 3M,2026-04,Carlow,Coffee & more,White chocolate mocha,54.0,292.34,54
Current 3M,2026-04,Carlow,Fruit tea,Apple Soda,2.0,8.49,2
Current 3M,2026-04,Carlow,Fruit tea,Apple lemonade tea,35.0,141.09,31
Current 3M,2026-04,Carlow,Fruit tea,Mango Passion Lemonade,173.0,740.57,163
Current 3M,2026-04,Carlow,Fruit tea,Mango Soda,1.0,3.78,1
Current 3M,2026-04,Carlow,Fruit tea,Strawberry Lemonade,65.0,263.13,62
Current 3M,2026-04,Carlow,Fruit tea,Strawberry Passion lemonade,29.0,122.35,25
Current 3M,2026-04,Carlow,Fruit tea,Watermelon Lemonade,66.0,277.25,62
Current 3M,2026-04,Carlow,Milk tea,Bueno Bliss Boba,94.0,505.46,84
Current 3M,2026-04,Carlow,Milk tea,Earl Grey,12.0,68.8,7
Current 3M,2026-04,Carlow,Milk tea,Matcha Latte,4.0,10.1,4
Current 3M,2026-04,Carlow,Milk tea,Original milk tea,28.0,142.74,24
Current 3M,2026-04,Carlow,Milk tea,Pistachio Crunch Matcha,1.0,5.15,1
Current 3M,2026-04,Carlow,Milk tea,Strawberry Sunset,56.0,300.6,54
Current 3M,2026-04,Carlow,Milk tea,Strawberry milk tea,5.0,24.46,4
Current 3M,2026-04,Carlow,Milk tea,Taro milk tea,39.0,208.0,37
Current 3M,2026-04,Carlow,Milk tea,Tiger Milk,62.0,338.56,55
Current 3M,2026-04,Carlow,Milk tea,Vanilla Matcha,102.0,588.85,90
Current 3M,2026-04,Carlow,Namo Plus,Starboy,146.0,601.06,129
Current 3M,2026-04,Carlow,Namo Plus Extras,Large,1.0,0.9,1
Current 3M,2026-04,Carlow,Smoothies,Mango Passionfruit smoothie,45.0,247.25,44
Current 3M,2026-04,Carlow,Smoothies,Strawberry Dream,67.0,382.37,63
Current 3M,2026-04,Carlow,Specials,Cinema deal (mon - wed),1.0,14.1,1
Current 3M,2026-04,Carlow,Specials,Loaded Chipotle Wedges,35.0,412.48,34
Current 3M,2026-04,Carlow,Specials,Piñalada,1.0,4.58,1
Current 3M,2026-04,Carlow,Specials,Quesadilla,81.0,872.98,77
Current 3M,2026-04,Carlow,Specials,Strawberry Matcha,23.0,128.53,22
Current 3M,2026-04,Carlow,Specials,Strawberry Oat Matcha,48.0,253.59,46
Current 3M,2026-04,Carlow,Specials,White Choc Matcha,50.0,295.2,43
Current 3M,2026-04,Clonmel,Acai bowls & Smoothies,Classic acai,271.0,2385.12,232
Current 3M,2026-04,Clonmel,Coffee & more,3€ Coffee,5.0,15.0,5
Current 3M,2026-04,Clonmel,Coffee & more,Americano,18.0,63.0,18
Current 3M,2026-04,Clonmel,Coffee & more,Bueno iced latte,49.0,284.4,43
Current 3M,2026-04,Clonmel,Coffee & more,Cappuccino,25.0,101.95,25
Current 3M,2026-04,Clonmel,Coffee & more,Flat white,11.0,43.31,11
Current 3M,2026-04,Clonmel,Coffee & more,Hot Choc,2.0,8.1,1
Current 3M,2026-04,Clonmel,Coffee & more,Iced Americano,4.0,14.42,4
Current 3M,2026-04,Clonmel,Coffee & more,Iced caramel latte,67.0,376.26,63
Current 3M,2026-04,Clonmel,Coffee & more,Latte,29.0,125.85,27
Current 3M,2026-04,Clonmel,Coffee & more,Pistachio latte,6.0,32.4,5
Current 3M,2026-04,Clonmel,Coffee & more,Tea,2.0,5.0,2
Current 3M,2026-04,Clonmel,Coffee & more,Toasted brown sugar,11.0,58.85,10
Current 3M,2026-04,Clonmel,Coffee & more,White chocolate mocha,38.0,216.6,36
Current 3M,2026-04,Clonmel,Fruit tea,Apple lemonade tea,15.0,64.06,14
Current 3M,2026-04,Clonmel,Fruit tea,Mango Passion Lemonade,75.0,315.59,69
Current 3M,2026-04,Clonmel,Fruit tea,Mango Soda,1.0,3.78,1
Current 3M,2026-04,Clonmel,Fruit tea,Strawberry Lemonade,49.0,212.27,49
Current 3M,2026-04,Clonmel,Fruit tea,Strawberry Passion lemonade,5.0,19.68,5
Current 3M,2026-04,Clonmel,Fruit tea,Watermelon Lemonade,61.0,257.87,58
Current 3M,2026-04,Clonmel,Milk tea,Bueno Bliss Boba,44.0,243.05,40
Current 3M,2026-04,Clonmel,Milk tea,Matcha Latte,2.0,10.7,2
Current 3M,2026-04,Clonmel,Milk tea,Original milk tea,37.0,207.37,33
Current 3M,2026-04,Clonmel,Milk tea,Pistachio Crunch Matcha,4.0,23.45,4
Current 3M,2026-04,Clonmel,Milk tea,Strawberry Sunset,38.0,216.5,35
Current 3M,2026-04,Clonmel,Milk tea,Strawberry milk tea,5.0,26.6,3
Current 3M,2026-04,Clonmel,Milk tea,Taro milk tea,23.0,132.1,21
Current 3M,2026-04,Clonmel,Milk tea,Tiger Milk,26.0,143.44,24
Current 3M,2026-04,Clonmel,Milk tea,Vanilla Matcha,30.0,168.05,30
Current 3M,2026-04,Clonmel,Namo Plus,Starboy,72.0,297.99,63
Current 3M,2026-04,Clonmel,Smoothies,Mango Passionfruit smoothie,28.0,159.56,23
Current 3M,2026-04,Clonmel,Smoothies,Strawberry Dream,53.0,304.75,51
Current 3M,2026-04,Clonmel,Specials,Loaded Chipotle Wedges,15.0,172.42,14
Current 3M,2026-04,Clonmel,Specials,Piñalada,2.0,12.2,2
Current 3M,2026-04,Clonmel,Specials,Quesadilla,24.0,264.69,24
Current 3M,2026-04,Clonmel,Specials,Strawberry Matcha,22.0,129.35,21
Current 3M,2026-04,Clonmel,Specials,Strawberry Oat Matcha,30.0,163.76,30
Current 3M,2026-04,Clonmel,Specials,White Choc Matcha,44.0,245.25,42
Current 3M,2026-04,Kilkenny Mexican,Specials,Cinema deal (mon - wed),4.0,59.73,2
Current 3M,2026-04,Kilkenny Mexican,Specials,Loaded Chipotle Wedges,22.0,267.39,20
Current 3M,2026-04,Kilkenny Mexican,Specials,Quesadilla,30.0,338.91,24
Current 3M,2026-04,Kilkenny Plus,Acai bowls & Smoothies,Classic acai,246.0,2092.3,229
Current 3M,2026-04,Kilkenny Plus,Acai bowls & Smoothies,MangoLoco,13.0,118.6,12
Current 3M,2026-04,Kilkenny Plus,Acai bowls & Smoothies,Medium Acai Bowl,76.0,636.42,61
Current 3M,2026-04,Kilkenny Plus,Coffee & more,Americano,9.0,32.1,8
Current 3M,2026-04,Kilkenny Plus,Coffee & more,Bueno iced latte,30.0,140.95,30
Current 3M,2026-04,Kilkenny Plus,Coffee & more,Cappuccino,11.0,38.1,9
Current 3M,2026-04,Kilkenny Plus,Coffee & more,Flat white,3.0,11.25,3
Current 3M,2026-04,Kilkenny Plus,Coffee & more,Hot Choc,1.0,4.05,1
Current 3M,2026-04,Kilkenny Plus,Coffee & more,Iced Latte,11.0,19.15,11
Current 3M,2026-04,Kilkenny Plus,Coffee & more,Iced caramel latte,39.0,199.9,35
Current 3M,2026-04,Kilkenny Plus,Coffee & more,Latte,10.0,16.4,10
Current 3M,2026-04,Kilkenny Plus,Coffee & more,"Oat, Coconut Milk",1.0,0.49,1
Current 3M,2026-04,Kilkenny Plus,Coffee & more,OrangeEspresso,2.0,0.0,2
Current 3M,2026-04,Kilkenny Plus,Coffee & more,Toasted brown sugar,22.0,130.3,22
Current 3M,2026-04,Kilkenny Plus,Coffee & more,White chocolate mocha,6.0,31.55,6
Current 3M,2026-04,Kilkenny Plus,Fruit tea,Apple Soda,5.0,19.3,5
Current 3M,2026-04,Kilkenny Plus,Fruit tea,Apple lemonade tea,19.0,76.93,19
Current 3M,2026-04,Kilkenny Plus,Fruit tea,Mango Passion Lemonade,108.0,445.22,97
Current 3M,2026-04,Kilkenny Plus,Fruit tea,Strawberry Lemonade,147.0,593.7,136
Current 3M,2026-04,Kilkenny Plus,Fruit tea,Strawberry Passion lemonade,33.0,146.76,29
Current 3M,2026-04,Kilkenny Plus,Fruit tea,Watermelon Lemonade,58.0,232.36,52
Current 3M,2026-04,Kilkenny Plus,Milk tea,Bueno Bliss Boba,73.0,398.2,70
Current 3M,2026-04,Kilkenny Plus,Milk tea,Matcha Latte,22.0,63.21,19
Current 3M,2026-04,Kilkenny Plus,Milk tea,Original milk tea,70.0,382.15,65
Current 3M,2026-04,Kilkenny Plus,Milk tea,Pistachio Crunch Matcha,5.0,27.65,5
Current 3M,2026-04,Kilkenny Plus,Milk tea,Strawberry Sunset,136.0,724.46,122
Current 3M,2026-04,Kilkenny Plus,Milk tea,Strawberry milk tea,12.0,56.65,11
Current 3M,2026-04,Kilkenny Plus,Milk tea,Taro milk tea,61.0,323.78,54
Current 3M,2026-04,Kilkenny Plus,Milk tea,Tiger Milk,70.0,389.7,62
Current 3M,2026-04,Kilkenny Plus,Milk tea,Vanilla Matcha,28.0,146.7,25
Current 3M,2026-04,Kilkenny Plus,Namo Plus,Starboy,223.0,901.3,196
Current 3M,2026-04,Kilkenny Plus,Smoothies,Dragonfruit Strawberry,1.0,5.75,1
Current 3M,2026-04,Kilkenny Plus,Smoothies,Mango Passionfruit smoothie,38.0,184.0,35
Current 3M,2026-04,Kilkenny Plus,Smoothies,Strawberry Dream,35.0,192.62,33
Current 3M,2026-04,Kilkenny Plus,Specials,Strawberry Matcha,14.0,71.0,12
Current 3M,2026-04,Kilkenny Plus,Specials,Strawberry Oat Matcha,50.0,243.9,44
Current 3M,2026-04,Kilkenny Plus,Specials,White Choc Matcha,13.0,58.55,13
Current 3M,2026-04,Portlaoise,Acai bowls & Smoothies,Classic acai,292.0,2545.11,256
Current 3M,2026-04,Portlaoise,Coffee & more,Americano,23.0,79.98,21
Current 3M,2026-04,Portlaoise,Coffee & more,Bueno iced latte,37.0,208.38,34
Current 3M,2026-04,Portlaoise,Coffee & more,Cappuccino,16.0,66.8,14
Current 3M,2026-04,Portlaoise,Coffee & more,Espresso,3.0,7.5,3
Current 3M,2026-04,Portlaoise,Coffee & more,Flat white,8.0,30.0,8
Current 3M,2026-04,Portlaoise,Coffee & more,Hot Choc,1.0,6.55,1
Current 3M,2026-04,Portlaoise,Coffee & more,Iced Latte,4.0,14.45,4
Current 3M,2026-04,Portlaoise,Coffee & more,Iced caramel latte,47.0,219.0,43
Current 3M,2026-04,Portlaoise,Coffee & more,Latte,16.0,67.4,15
Current 3M,2026-04,Portlaoise,Coffee & more,Tea,13.0,32.5,13
Current 3M,2026-04,Portlaoise,Coffee & more,Toasted brown sugar,14.0,79.75,14
Current 3M,2026-04,Portlaoise,Coffee & more,White chocolate mocha,24.0,124.83,24
Current 3M,2026-04,Portlaoise,Fruit tea,Apple Soda,5.0,20.84,5
Current 3M,2026-04,Portlaoise,Fruit tea,Apple lemonade tea,21.0,84.15,18
Current 3M,2026-04,Portlaoise,Fruit tea,Mango Passion Lemonade,99.0,418.69,91
Current 3M,2026-04,Portlaoise,Fruit tea,Strawberry Lemonade,77.0,318.71,70
Current 3M,2026-04,Portlaoise,Fruit tea,Strawberry Passion lemonade,12.0,52.93,11
Current 3M,2026-04,Portlaoise,Fruit tea,Watermelon Lemonade,56.0,226.65,53
Current 3M,2026-04,Portlaoise,Milk tea,Bueno Bliss Boba,41.0,200.85,38
Current 3M,2026-04,Portlaoise,Milk tea,Earl Grey,5.0,26.45,4
Current 3M,2026-04,Portlaoise,Milk tea,Matcha Latte,5.0,14.85,5
Current 3M,2026-04,Portlaoise,Milk tea,Original milk tea,32.0,185.9,28
Current 3M,2026-04,Portlaoise,Milk tea,Pistachio Crunch Matcha,8.0,42.75,7
Current 3M,2026-04,Portlaoise,Milk tea,Strawberry Sunset,35.0,192.85,33
Current 3M,2026-04,Portlaoise,Milk tea,Strawberry milk tea,1.0,4.75,1
Current 3M,2026-04,Portlaoise,Milk tea,Taro milk tea,13.0,69.45,13
Current 3M,2026-04,Portlaoise,Milk tea,Tiger Milk,20.0,108.65,19
Current 3M,2026-04,Portlaoise,Milk tea,Vanilla Matcha,65.0,355.85,62
Current 3M,2026-04,Portlaoise,Namo Plus,Starboy,66.0,273.41,60
Current 3M,2026-04,Portlaoise,Namo Plus Extras,Large,1.0,0.9,1
Current 3M,2026-04,Portlaoise,Smoothies,Mango Passionfruit smoothie,26.0,149.5,25
Current 3M,2026-04,Portlaoise,Smoothies,Strawberry Dream,26.0,149.5,26
Current 3M,2026-04,Portlaoise,Specials,Loaded Chipotle Wedges,16.0,112.14,11
Current 3M,2026-04,Portlaoise,Specials,Pistachio Crunch Latte,1.0,4.85,1
Current 3M,2026-04,Portlaoise,Specials,Quesadilla,32.0,346.15,31
Current 3M,2026-04,Portlaoise,Specials,Strawberry Matcha,6.0,33.05,6
Current 3M,2026-04,Portlaoise,Specials,Strawberry Oat Matcha,18.0,101.5,18
Current 3M,2026-04,Portlaoise,Specials,White Choc Matcha,27.0,151.05,26
Current 3M,2026-04,Waterfordd,Acai bowls & Smoothies,Classic acai,137.0,1208.81,125
Current 3M,2026-04,Waterfordd,Coffee & more,Americano,12.0,41.12,12
Current 3M,2026-04,Waterfordd,Coffee & more,Bueno iced latte,34.0,189.45,32
Current 3M,2026-04,Waterfordd,Coffee & more,Cappuccino,9.0,37.5,9
Current 3M,2026-04,Waterfordd,Coffee & more,Flat white,3.0,11.25,3
Current 3M,2026-04,Waterfordd,Coffee & more,Iced Americano,2.0,6.82,2
Current 3M,2026-04,Waterfordd,Coffee & more,Iced Latte,6.0,24.2,6
Current 3M,2026-04,Waterfordd,Coffee & more,Iced caramel latte,22.0,117.05,21
Current 3M,2026-04,Waterfordd,Coffee & more,Latte,5.0,21.1,5
Current 3M,2026-04,Waterfordd,Coffee & more,Tea,6.0,15.0,6
Current 3M,2026-04,Waterfordd,Coffee & more,Toasted brown sugar,47.0,246.95,39
Current 3M,2026-04,Waterfordd,Coffee & more,White chocolate mocha,27.0,149.85,25
Current 3M,2026-04,Waterfordd,Fruit tea,Apple Soda,7.0,27.59,7
Current 3M,2026-04,Waterfordd,Fruit tea,Apple lemonade tea,33.0,134.32,32
Current 3M,2026-04,Waterfordd,Fruit tea,Mango Passion Lemonade,143.0,606.8,131
Current 3M,2026-04,Waterfordd,Fruit tea,Strawberry Lemonade,138.0,573.65,128
Current 3M,2026-04,Waterfordd,Fruit tea,Strawberry Passion lemonade,17.0,74.57,15
Current 3M,2026-04,Waterfordd,Fruit tea,Watermelon Lemonade,58.0,246.11,55
Current 3M,2026-04,Waterfordd,Milk tea,Bueno Bliss Boba,45.0,246.6,41
Current 3M,2026-04,Waterfordd,Milk tea,Matcha Latte,1.0,4.75,1
Current 3M,2026-04,Waterfordd,Milk tea,Original milk tea,18.0,90.56,18
Current 3M,2026-04,Waterfordd,Milk tea,Strawberry Sunset,45.0,242.8,44
Current 3M,2026-04,Waterfordd,Milk tea,Taro milk tea,10.0,52.69,9
Current 3M,2026-04,Waterfordd,Milk tea,Tiger Milk,7.0,36.65,7
Current 3M,2026-04,Waterfordd,Milk tea,Vanilla Matcha,8.0,40.25,7
Current 3M,2026-04,Waterfordd,Namo Plus,Starboy,87.0,352.05,80
Current 3M,2026-04,Waterfordd,Smoothies,Mango Passionfruit smoothie,25.0,143.75,24
Current 3M,2026-04,Waterfordd,Smoothies,Strawberry Dream,37.0,212.75,34
Current 3M,2026-04,Waterfordd,Specials,Loaded Chipotle Wedges,26.0,294.11,26
Current 3M,2026-04,Waterfordd,Specials,Quesadilla,102.0,1090.11,94
Current 3M,2026-04,Waterfordd,Specials,Strawberry Matcha,13.0,73.75,13
Current 3M,2026-04,Waterfordd,Specials,Strawberry Oat Matcha,27.0,148.88,25
Current 3M,2026-04,Waterfordd,Specials,White Choc Matcha,65.0,361.54,62
Current 3M,2026-05,Carlow,Acai bowls & Smoothies,Classic acai,380.0,3296.19,343
Current 3M,2026-05,Carlow,Coffee & more,Americano,29.0,101.5,29
Current 3M,2026-05,Carlow,Coffee & more,Bueno iced latte,82.0,457.19,74
Current 3M,2026-05,Carlow,Coffee & more,Cappuccino,27.0,115.0,25
Current 3M,2026-05,Carlow,Coffee & more,Double Espresso,2.0,7.0,2
Current 3M,2026-05,Carlow,Coffee & more,Espresso,3.0,7.5,3
Current 3M,2026-05,Carlow,Coffee & more,Flat white,9.0,34.35,7
Current 3M,2026-05,Carlow,Coffee & more,Hot Choc,1.0,4.05,1
Current 3M,2026-05,Carlow,Coffee & more,Iced Americano,3.0,11.99,2
Current 3M,2026-05,Carlow,Coffee & more,Iced Latte,46.0,210.29,42
Current 3M,2026-05,Carlow,Coffee & more,Iced caramel latte,147.0,809.25,139
Current 3M,2026-05,Carlow,Coffee & more,Latte,32.0,134.38,31
Current 3M,2026-05,Carlow,Coffee & more,"Oat, Coconut Milk",1.0,0.49,1
Current 3M,2026-05,Carlow,Coffee & more,Pistachio latte,5.0,14.65,5
Current 3M,2026-05,Carlow,Coffee & more,Tea,9.0,22.5,7
Current 3M,2026-05,Carlow,Coffee & more,Toasted brown sugar,79.0,337.3,75
Current 3M,2026-05,Carlow,Coffee & more,White chocolate mocha,96.0,494.74,93
Current 3M,2026-05,Carlow,Fruit tea,Apple Soda,4.0,16.98,4
Current 3M,2026-05,Carlow,Fruit tea,Apple lemonade tea,31.0,127.85,30
Current 3M,2026-05,Carlow,Fruit tea,Mango Passion Lemonade,264.0,1126.84,253
Current 3M,2026-05,Carlow,Fruit tea,Mango Soda,1.0,3.78,1
Current 3M,2026-05,Carlow,Fruit tea,Strawberry Lemonade,125.0,523.37,116
Current 3M,2026-05,Carlow,Fruit tea,Strawberry Passion lemonade,32.0,139.06,30
Current 3M,2026-05,Carlow,Fruit tea,Watermelon Lemonade,113.0,467.05,104
Current 3M,2026-05,Carlow,Milk tea,Bueno Bliss Boba,77.0,416.03,68
Current 3M,2026-05,Carlow,Milk tea,Earl Grey,5.0,26.45,5
Current 3M,2026-05,Carlow,Milk tea,Matcha Latte,7.0,32.45,7
Current 3M,2026-05,Carlow,Milk tea,Original milk tea,65.0,353.18,54
Current 3M,2026-05,Carlow,Milk tea,Pistachio Crunch Matcha,7.0,40.0,7
Current 3M,2026-05,Carlow,Milk tea,Strawberry Sunset,75.0,414.26,71
Current 3M,2026-05,Carlow,Milk tea,Strawberry milk tea,12.0,57.95,10
Current 3M,2026-05,Carlow,Milk tea,Taro milk tea,52.0,281.6,46
Current 3M,2026-05,Carlow,Milk tea,Tiger Milk,56.0,301.32,51
Current 3M,2026-05,Carlow,Milk tea,Vanilla Matcha,128.0,749.05,115
Current 3M,2026-05,Carlow,Namo Plus,Starboy,206.0,840.27,184
Current 3M,2026-05,Carlow,Smoothies,Mango Passionfruit smoothie,116.0,656.93,105
Current 3M,2026-05,Carlow,Smoothies,Strawberry Dream,116.0,664.12,106
Current 3M,2026-05,Carlow,Specials,Cinema deal (mon - wed),2.0,28.19,1
Current 3M,2026-05,Carlow,Specials,Loaded Chipotle Wedges,55.0,656.7,50
Current 3M,2026-05,Carlow,Specials,Pistachio Crunch Latte,1.0,5.8,1
Current 3M,2026-05,Carlow,Specials,Piñalada,1.0,3.86,1
Current 3M,2026-05,Carlow,Specials,Quesadilla,115.0,1320.71,108
Current 3M,2026-05,Carlow,Specials,Strawberry Oat Matcha,82.0,461.65,79
Current 3M,2026-05,Carlow,Specials,White Choc Matcha,54.0,322.7,46
Current 3M,2026-05,Clonmel,Acai bowls & Smoothies,Classic acai,389.0,3418.27,333
Current 3M,2026-05,Clonmel,Coffee & more,3€ Coffee,3.0,9.0,3
Current 3M,2026-05,Clonmel,Coffee & more,Americano,21.0,74.1,20
Current 3M,2026-05,Clonmel,Coffee & more,Bueno iced latte,49.0,276.15,42
Current 3M,2026-05,Clonmel,Coffee & more,Cappuccino,44.0,183.34,40
Current 3M,2026-05,Clonmel,Coffee & more,Chai latte,2.0,9.3,2
Current 3M,2026-05,Clonmel,Coffee & more,Espresso,1.0,2.5,1
Current 3M,2026-05,Clonmel,Coffee & more,Flat white,10.0,38.1,10
Current 3M,2026-05,Clonmel,Coffee & more,Hot Choc,1.0,4.05,1
Current 3M,2026-05,Clonmel,Coffee & more,Iced Americano,2.0,6.75,2
Current 3M,2026-05,Clonmel,Coffee & more,Iced Latte,8.0,32.93,8
Current 3M,2026-05,Clonmel,Coffee & more,Iced caramel latte,83.0,458.41,80
Current 3M,2026-05,Clonmel,Coffee & more,Latte,30.0,129.18,29
Current 3M,2026-05,Clonmel,Coffee & more,Pistachio latte,9.0,52.2,9
Current 3M,2026-05,Clonmel,Coffee & more,Tea,1.0,2.5,1
Current 3M,2026-05,Clonmel,Coffee & more,Toasted brown sugar,11.0,58.95,10
Current 3M,2026-05,Clonmel,Coffee & more,White chocolate mocha,38.0,213.4,37
Current 3M,2026-05,Clonmel,Fruit tea,Apple Soda,2.0,8.49,2
Current 3M,2026-05,Clonmel,Fruit tea,Apple lemonade tea,21.0,86.46,19
Current 3M,2026-05,Clonmel,Fruit tea,Mango Passion Lemonade,117.0,501.9,110
Current 3M,2026-05,Clonmel,Fruit tea,Strawberry Lemonade,72.0,307.85,66
Current 3M,2026-05,Clonmel,Fruit tea,Strawberry Passion lemonade,18.0,78.96,16
Current 3M,2026-05,Clonmel,Fruit tea,Watermelon Lemonade,90.0,378.45,84
Current 3M,2026-05,Clonmel,Milk tea,Bueno Bliss Boba,75.0,403.89,67
Current 3M,2026-05,Clonmel,Milk tea,Matcha Latte,2.0,10.1,2
Current 3M,2026-05,Clonmel,Milk tea,Original milk tea,38.0,215.0,36
Current 3M,2026-05,Clonmel,Milk tea,Pistachio Crunch Matcha,8.0,48.48,8
Current 3M,2026-05,Clonmel,Milk tea,Strawberry Sunset,68.0,388.2,66
Current 3M,2026-05,Clonmel,Milk tea,Strawberry milk tea,9.0,46.52,9
Current 3M,2026-05,Clonmel,Milk tea,Taro milk tea,26.0,140.5,23
Current 3M,2026-05,Clonmel,Milk tea,Tiger Milk,48.0,269.05,43
Current 3M,2026-05,Clonmel,Milk tea,Vanilla Matcha,37.0,198.95,36
Current 3M,2026-05,Clonmel,Namo Plus,Starboy,82.0,336.19,76
Current 3M,2026-05,Clonmel,Smoothies,Mango Passionfruit smoothie,41.0,235.75,34
Current 3M,2026-05,Clonmel,Smoothies,Strawberry Dream,97.0,554.87,95
Current 3M,2026-05,Clonmel,Specials,Loaded Chipotle Wedges,26.0,297.69,23
Current 3M,2026-05,Clonmel,Specials,Piñalada,1.0,5.15,1
Current 3M,2026-05,Clonmel,Specials,Quesadilla,42.0,457.36,41
Current 3M,2026-05,Clonmel,Specials,Strawberry Oat Matcha,66.0,374.43,63
Current 3M,2026-05,Clonmel,Specials,White Choc Matcha,70.0,386.77,64
Current 3M,2026-05,Kilkenny Mexican,Namo Plus,Starboy,1.0,4.63,1
Current 3M,2026-05,Kilkenny Mexican,Specials,Cinema deal (mon - wed),3.0,44.06,2
Current 3M,2026-05,Kilkenny Mexican,Specials,Loaded Chipotle Wedges,25.0,296.37,23
Current 3M,2026-05,Kilkenny Mexican,Specials,Quesadilla,77.0,874.77,62
Current 3M,2026-05,Kilkenny Plus,Acai bowls & Smoothies,Classic acai,473.0,3985.02,427
Current 3M,2026-05,Kilkenny Plus,Acai bowls & Smoothies,MangoLoco,18.0,142.9,14
Current 3M,2026-05,Kilkenny Plus,Acai bowls & Smoothies,Medium Acai Bowl,89.0,751.05,79
Current 3M,2026-05,Kilkenny Plus,Coffee & more,Americano,10.0,31.5,10
Current 3M,2026-05,Kilkenny Plus,Coffee & more,Bueno iced latte,79.0,400.5,74
Current 3M,2026-05,Kilkenny Plus,Coffee & more,Cappuccino,17.0,69.88,16
Current 3M,2026-05,Kilkenny Plus,Coffee & more,Flat white,5.0,19.95,5
Current 3M,2026-05,Kilkenny Plus,Coffee & more,Hot Choc,1.0,4.05,1
Current 3M,2026-05,Kilkenny Plus,Coffee & more,Iced Americano,1.0,3.41,1
Current 3M,2026-05,Kilkenny Plus,Coffee & more,Iced Latte,19.0,72.65,18
Current 3M,2026-05,Kilkenny Plus,Coffee & more,Iced caramel latte,82.0,432.07,76
Current 3M,2026-05,Kilkenny Plus,Coffee & more,Latte,17.0,55.7,17
Current 3M,2026-05,Kilkenny Plus,Coffee & more,Pistachio latte,1.0,0.0,1
Current 3M,2026-05,Kilkenny Plus,Coffee & more,Toasted brown sugar,38.0,198.85,35
Current 3M,2026-05,Kilkenny Plus,Coffee & more,White chocolate mocha,34.0,144.6,33
Current 3M,2026-05,Kilkenny Plus,Fruit tea,Apple lemonade tea,52.0,203.24,50
Current 3M,2026-05,Kilkenny Plus,Fruit tea,Mango Passion Lemonade,191.0,793.35,165
Current 3M,2026-05,Kilkenny Plus,Fruit tea,Strawberry Lemonade,161.0,661.43,146
Current 3M,2026-05,Kilkenny Plus,Fruit tea,Strawberry Lemonade (Voided),2.0,0.0,2
Current 3M,2026-05,Kilkenny Plus,Fruit tea,Strawberry Passion lemonade,46.0,198.76,40
Current 3M,2026-05,Kilkenny Plus,Fruit tea,Strawberry Passion lemonade (Voided),1.0,0.0,1
Current 3M,2026-05,Kilkenny Plus,Fruit tea,Watermelon Lemonade,77.0,307.11,74
Current 3M,2026-05,Kilkenny Plus,Fruit tea,Watermelon Lemonade (Voided),2.0,0.0,2
Current 3M,2026-05,Kilkenny Plus,Milk tea,Bueno Bliss Boba,98.0,516.7,76
Current 3M,2026-05,Kilkenny Plus,Milk tea,HoneyDew Milk Tea,14.0,73.75,13
Current 3M,2026-05,Kilkenny Plus,Milk tea,Mango Milk Tea,2.0,11.4,2
Current 3M,2026-05,Kilkenny Plus,Milk tea,Matcha Latte,19.0,94.1,17
Current 3M,2026-05,Kilkenny Plus,Milk tea,Original milk tea,99.0,542.3,91
Current 3M,2026-05,Kilkenny Plus,Milk tea,Pistachio Crunch Matcha,5.0,26.7,5
Current 3M,2026-05,Kilkenny Plus,Milk tea,Strawberry Sunset,121.0,663.78,112
Current 3M,2026-05,Kilkenny Plus,Milk tea,Strawberry milk tea,33.0,166.5,32
Current 3M,2026-05,Kilkenny Plus,Milk tea,Taro milk tea,74.0,396.04,63
Current 3M,2026-05,Kilkenny Plus,Milk tea,Taro milk tea (Voided),1.0,0.0,1
Current 3M,2026-05,Kilkenny Plus,Milk tea,Tiger Milk,80.0,437.85,74
Current 3M,2026-05,Kilkenny Plus,Milk tea,Vanilla Matcha,68.0,364.5,61
Current 3M,2026-05,Kilkenny Plus,Namo Plus,Starboy,315.0,1264.02,284
Current 3M,2026-05,Kilkenny Plus,Namo Plus,Starboy (Voided),1.0,0.0,1
Current 3M,2026-05,Kilkenny Plus,Smoothies,Dragonfruit Strawberry,3.0,17.25,3
Current 3M,2026-05,Kilkenny Plus,Smoothies,Mango Passionfruit smoothie,49.0,268.81,46
Current 3M,2026-05,Kilkenny Plus,Smoothies,Strawberry Dream,35.0,195.5,31
Current 3M,2026-05,Kilkenny Plus,Specials,Strawberry Oat Matcha,97.0,490.93,95
Current 3M,2026-05,Kilkenny Plus,Specials,White Choc Matcha,38.0,181.06,36
Current 3M,2026-05,Portlaoise,Acai bowls & Smoothies,5€ Student acai,38.0,191.8,34
