Shop,Category,Drink,Current Qty,LY Qty,Qty Change,Qty Change %,Current Revenue,LY Revenue,Revenue Change,Revenue Change %
Portlaoise,Milk tea,Pistachio Crunch Latte,0.0,19.0,-19.0,-1.0,0.0,96.65,-96.65,-1.0
Portlaoise,Milk tea,Pistachio Crunch Matcha,30.0,0.0,30.0,,165.26,0.0,165.26,
Portlaoise,Milk tea,Strawberry Sunset,142.0,48.0,94.0,1.9583,786.91,223.2,563.71,2.5256
Portlaoise,Milk tea,Strawberry milk tea,8.0,0.0,8.0,,36.04,0.0,36.04,
Portlaoise,Milk tea,Taro milk tea,92.0,39.0,53.0,1.359,498.35,196.16,302.19,1.5405
Portlaoise,Milk tea,Tiger Milk,111.0,39.0,72.0,1.8462,612.08,203.25,408.83,2.0115
Portlaoise,Milk tea,Vanilla Matcha,223.0,0.0,223.0,,1258.85,0.0,1258.85,
Portlaoise,Namo Plus,Cinnamon Bun Latte,0.0,1.0,-1.0,-1.0,0.0,5.4,-5.4,-1.0
Portlaoise,Namo Plus,Starboy,350.0,267.0,83.0,0.3109,1463.0,1051.26,411.74,0.3917
Portlaoise,Namo Plus Extras,Large,1.0,6.0,-5.0,-0.8333,0.9,5.4,-4.5,-0.8333
Portlaoise,Smoothies,Dream,0.0,75.0,-75.0,-1.0,0.0,450.79,-450.79,-1.0
Portlaoise,Smoothies,Mango Passionfruit smoothie,149.0,58.0,91.0,1.569,851.02,347.38,503.64,1.4498
Portlaoise,Smoothies,Strawberry Dream,116.0,0.0,116.0,,668.57,0.0,668.57,
Portlaoise,Specials,Enchiladas,0.0,5.0,-5.0,-1.0,0.0,51.37,-51.37,-1.0
Portlaoise,Specials,Loaded Chipotle Wedges,71.0,25.0,46.0,1.84,700.26,263.62,436.64,1.6563
Portlaoise,Specials,Pistachio Crunch Latte,1.0,0.0,1.0,,4.85,0.0,4.85,
Portlaoise,Specials,Piñalada,0.0,24.0,-24.0,-1.0,0.0,117.9,-117.9,-1.0
Portlaoise,Specials,Quesadilla,178.0,80.0,98.0,1.225,1990.84,826.92,1163.92,1.4075
Portlaoise,Specials,Straw Matcha (excl boba),0.0,105.0,-105.0,-1.0,0.0,516.58,-516.58,-1.0
Portlaoise,Specials,Strawberry Matcha,6.0,0.0,6.0,,33.05,0.0,33.05,
Portlaoise,Specials,Strawberry Oat Matcha,119.0,0.0,119.0,,665.34,0.0,665.34,
Portlaoise,Specials,Strawberry red velvet milk t,0.0,2.0,-2.0,-1.0,0.0,6.96,-6.96,-1.0
Portlaoise,Specials,White Choc Matcha,103.0,0.0,103.0,,572.02,0.0,572.02,
Portlaoise,Specials,strawberry pinalada,0.0,6.0,-6.0,-1.0,0.0,29.7,-29.7,-1.0
Waterfordd,Acai bowls & Smoothies,Classic acai,473.0,0.0,473.0,,4095.0,0.0,4095.0,
Waterfordd,Coffee & more,Americano,46.0,0.0,46.0,,156.62,0.0,156.62,
Waterfordd,Coffee & more,Bueno iced latte,131.0,0.0,131.0,,701.6,0.0,701.6,
Waterfordd,Coffee & more,Cappuccino,39.0,0.0,39.0,,161.1,0.0,161.1,
Waterfordd,Coffee & more,Espresso,3.0,0.0,3.0,,5.0,0.0,5.0,
Waterfordd,Coffee & more,Flat white,16.0,0.0,16.0,,60.6,0.0,60.6,
Waterfordd,Coffee & more,Hot Choc,4.0,0.0,4.0,,12.15,0.0,12.15,
Waterfordd,Coffee & more,Iced Americano,5.0,0.0,5.0,,17.05,0.0,17.05,
Waterfordd,Coffee & more,Iced Latte,29.0,0.0,29.0,,122.17,0.0,122.17,
Waterfordd,Coffee & more,Iced caramel latte,73.0,0.0,73.0,,385.66,0.0,385.66,
Waterfordd,Coffee & more,Latte,37.0,0.0,37.0,,152.4,0.0,152.4,
Waterfordd,Coffee & more,Pistachio latte,1.0,0.0,1.0,,5.3,0.0,5.3,
Waterfordd,Coffee & more,Tea,11.0,0.0,11.0,,27.5,0.0,27.5,
Waterfordd,Coffee & more,Toasted brown sugar,120.0,0.0,120.0,,656.1,0.0,656.1,
Waterfordd,Coffee & more,White chocolate mocha,49.0,0.0,49.0,,273.54,0.0,273.54,
Waterfordd,Fruit tea,Apple Soda,20.0,0.0,20.0,,87.21,0.0,87.21,
Waterfordd,Fruit tea,Apple lemonade tea,65.0,0.0,65.0,,265.4,0.0,265.4,
Waterfordd,Fruit tea,Mango Passion Lemonade,316.0,0.0,316.0,,1345.57,0.0,1345.57,
Waterfordd,Fruit tea,Strawberry Lemonade,326.0,0.0,326.0,,1383.29,0.0,1383.29,
Waterfordd,Fruit tea,Strawberry Nojito,15.0,0.0,15.0,,65.44,0.0,65.44,
Waterfordd,Fruit tea,Strawberry Passion lemonade,55.0,0.0,55.0,,242.89,0.0,242.89,
Waterfordd,Fruit tea,Watermelon Lemonade,162.0,0.0,162.0,,706.17,0.0,706.17,
Waterfordd,Milk tea,Bueno Bliss Boba,148.0,0.0,148.0,,808.9,0.0,808.9,
Waterfordd,Milk tea,Matcha Latte,11.0,0.0,11.0,,54.69,0.0,54.69,
Waterfordd,Milk tea,Original milk tea,77.0,0.0,77.0,,425.56,0.0,425.56,
Waterfordd,Milk tea,Pistachio Crunch Matcha,6.0,0.0,6.0,,31.07,0.0,31.07,
Waterfordd,Milk tea,Strawberry Sunset,104.0,0.0,104.0,,570.79,0.0,570.79,
Waterfordd,Milk tea,Strawberry milk tea,11.0,0.0,11.0,,58.35,0.0,58.35,
Waterfordd,Milk tea,Taro milk tea,57.0,0.0,57.0,,318.18,0.0,318.18,
Waterfordd,Milk tea,Tiger Milk,28.0,0.0,28.0,,159.68,0.0,159.68,
Waterfordd,Milk tea,Vanilla Matcha,24.0,0.0,24.0,,128.81,0.0,128.81,
Waterfordd,Namo Plus,Starboy,268.0,0.0,268.0,,1106.07,0.0,1106.07,
